z,symbol,density
1,H,8.40E-05
2,He,0.00017
3,Li,0.53
4,Be,1.85
5,B,2.46
6,C,3.51
7,N,0.00117
8,O,0.00133
9,F,0.00158
10,Ne,0.00084
11,Na,0.97
12,Mg,1.74
13,Al,2.7
14,Si,2.33
15,P,2.06
16,S,0.00295
17,Cl,0.00166
18,Ar,0.86
19,K,1.54
20,Ca,2.99
21,Sc,4.51
22,Ti,6.09
23,V,7.14
24,Cr,7.44
25,Mn,7.87
26,Fe,8.89
27,Co,8.91
28,Ni,8.92
29,Cu,7.14
30,Zn,5.91
31,Ga,5.32
32,Ge,5.72
33,As,4.82
34,Se,3.14
35,Br,0.00348
36,Kr,1.53
37,Rb,2.63
38,Sr,4.47
39,Y,6.51
40,Zr,8.58
41,Nb,10.28
42,Mo,11.49
43,Tc,11.5
44,Ru,12.41
45,Rh,12.02
46,Pd,10.49
47,Ag,8.64
48,Cd,7.31
49,In,7.29
50,Sn,6.69
51,Sb,6.25
52,Te,4.94
53,I,0.00449
54,Xe,1.9
55,Cs,3.65
56,Ba,6.16
57,La,6.77
58,Ce,6.48
59,Pr,7
60,Nd,7.22
61,Pm,7.54
62,Sm,5.25
63,Eu,7.89
64,Gd,8.25
65,Tb,8.56
66,Dy,8.78
67,Ho,9.05
68,Er,9.32
69,Tm,6.97
70,Yb,6.98
71,Lu,13.31
72,Hf,16.68
73,Ta,19.26
74,W,21.03
75,Re,22.59
76,Os,22.56
77,Ir,21.45
78,Pt,19.32
79,Au,13.55
80,Hg,11.85
81,Tl,11.34
82,Pb,9.8
83,Bi,9.2
84,Po,9.4
85,At,0.00923
86,Rn,5.5
87,Fr,5.5
88,Ra,10.07
89,Ac,11.72
90,Th,15.37
91,Pa,18.97
92,U,19.1
